Field ID,Field Name,Short Description,Long Description,Field Type,Additional Notes
1,Match ID 18Char,Unique ID for each Big/Little Match,A unique identifier for each Big/Little match,ID,
2,Completion Date,Date for Match Support Contact Notes,"Date that Match Coordinator Entered Match Support Contact Notes, i.e. checkin calls",Date,This field is not included in Novice set
3,Match Support Contact Notes,Check in Notes of how a match is going,"Checkin Notes entered by a match coordinator, may include question prompts. Names of Big's, Little's and Match Coordinators have been replaced as well as email addresses and phone numbers.",Text,This field is not included in Novice set
4,Stage,Match status,Match status as of 2025-02-27,Categorical,This field deleted from test set
5,Little ID,Little's Unique ID,A unique identifier for each Little,ID,
6,Big ID,Big's Unique ID,A unique identifier for each Big,ID,
7,Big County,County of the Big,County of the Big at time of Match,Text,
8,Big Age,Age of the Big,Current Age of the Big in years,Numerical,
9,Big Occupation,Occupation of Big,General Category of Occupation of Big at time of Match as selected by Volunteer,Categorical,
10,Big Military,Military status of Big,A checkbox indicating whether the volunteer has a background in the military,Categorical,
11,Big Approved Date,Date that Big was approved ,The date on which the volunteer was approved to be matched with a youth,Categorical,
12,Big Level of Education,Education Level of Big,Self Reported Education level at time of match,Categorical,
13,Big Languages,Other languages spoken by Big,Self Reported Languages other than English of Big,"Categorical, List",
14,Big Gender,Gender of Big,Self Reported Gender of Big,Categorical,
15,Big Birthdate,Birthdate of Big,"Modified birthdate of Big, all day of month filled with 1",Date,
16,Big Employer,Employer of Big,Employer of Big at time of Match,Text,
17,Program,Program name of Match,"Program that this match was created under, ie specific campaign or company initiative.",Text,
18,Program Type,Program type of Match,"The umbrella term for the three types of programs that BBBS offers, whether the match is facilitated throughout the community or at a specific site, ie being hosted by a company.",Categorical,
19,Big Race/Ethnicity,Race/Ethnicity of Big,Self Reported Race/Ethnicity of Big,"Categorical, List",
20,Closure Reason,Reason for the Match Closure,"The picklist value selected for why the match ended/closed; broad categories include Agency, Child/Family, Child, Successful Match Closure, Volunteer",Categorical,This field deleted from test set
21,Closure Details,Note on reason for the Match Closure,"Match coordinator notes of Reason for Match Closure, may include question prompts. Names of Big's, Little's and Match Coordinators have been replaced as well as email addresses and phone numbers.",Text,This field deleted from test set
22,Match Activation Date,Start date of Match,The date on which the match began,Date,
23,Match Closure Meeting Date,End date of Match,The date on which the match closed,Date,This field deleted from test set
24,Rationale for Match,Match Coordinator Notes on Rationale for match closure,"Match Coordinator Notes on why match was made in the first place, may include question prompts. Names of Big's, Little's and Match Coordinators have been replaced as well as email addresses and phone numbers.",Text,
